년월,시군구별,연료별,승용,승합,화물,특수,계
2019-01-01,강남구,휘발유(유연),1,,,,1
2019-01-01,송파구,CNG,53,,38,,91
2019-01-01,송파구,CNG,8,888,,,896
2019-01-01,송파구,경유,54825,4587,20208,123,79743
2019-01-01,송파구,경유,414,715,4214,257,5600
2019-01-01,송파구,기타연료,2,82,246,8,338
2019-01-01,송파구,기타연료,,,42,,42
2019-01-01,송파구,수소,4,,,,4
2019-01-01,송파구,엘피지,9662,992,1564,1,12219
2019-01-01,송파구,엘피지,5708,7,400,,6115
2019-01-01,송파구,전기,334,,6,,340
2019-01-01,송파구,전기,7,,,,7
2019-01-01,송파구,하이브리드(CNG+전기),,4,,,4
2019-01-01,송파구,하이브리드(LPG+전기),154,,,,154
2019-01-01,송파구,하이브리드(경유+전기),6,,,,6
2019-01-01,송파구,하이브리드(휘발유+전기),5972,,,,5972
2019-01-01,송파구,하이브리드(휘발유+전기),8,,,,8
2019-01-01,송파구,휘발유,56800,24,79,,56903
2019-01-01,송파구,휘발유,59,,,,59
2019-01-01,송파구,휘발유(무연),68616,30,50,,68696
2019-01-01,송파구,휘발유(무연),400,,,,400
2019-01-01,송파구,휘발유(유연),98,,,,98
2019-01-01,송파구,휘발유(유연),1,,,,1
2019-01-01,강동구,CNG,38,1,21,,60
2019-01-01,강동구,CNG,1,188,,,189
2019-01-01,강동구,경유,31680,3372,11837,57,46946
2019-01-01,강동구,경유,213,338,2059,227,2837
2019-01-01,강동구,기타연료,5,53,129,4,191
2019-01-01,강동구,기타연료,,,46,,46
2019-01-01,강동구,수소,3,,,,3
2019-01-01,강동구,엘피지,7852,793,1082,,9727
2019-01-01,강동구,엘피지,5122,6,285,,5413
2019-01-01,강동구,전기,161,,,,161
2019-01-01,강동구,전기,10,10,,,20
2019-01-01,강동구,하이브리드(CNG+전기),,2,,,2
2019-01-01,강동구,하이브리드(LPG+전기),75,,,,75
2019-01-01,강동구,하이브리드(경유+전기),1,,,,1
2019-01-01,강동구,하이브리드(휘발유+전기),2901,,,,2901
2019-01-01,강동구,하이브리드(휘발유+전기),19,,,,19
2019-01-01,강동구,휘발유,27666,21,44,,27731
2019-01-01,강동구,휘발유,41,,,,41
2019-01-01,강동구,휘발유(무연),38969,19,35,,39023
2019-01-01,강동구,휘발유(무연),204,,,,204
2019-01-01,강동구,휘발유(유연),48,,,,48
2019-02-01,종로구,CNG,6,2,16,,24
2019-02-01,종로구,CNG,,92,,,92
2019-02-01,종로구,경유,11031,3263,4117,120,18531
2019-02-01,종로구,경유,56,224,603,53,936
2019-02-01,종로구,기타연료,2,26,47,9,84
2019-02-01,종로구,기타연료,,,91,,91
2019-02-01,종로구,수소,6,,,,6
2019-02-01,종로구,엘피지,1719,237,347,,2303
2019-02-01,종로구,엘피지,221,,123,,344
2019-02-01,종로구,전기,131,,4,,135
2019-02-01,종로구,하이브리드(LPG+전기),44,,,,44
2019-02-01,종로구,하이브리드(경유+전기),2,,,,2
2019-02-01,종로구,하이브리드(휘발유+전기),1280,,,,1280
2019-02-01,종로구,하이브리드(휘발유+전기),9,,,,9
2019-02-01,종로구,휘발유,11544,38,50,1,11633
2019-02-01,종로구,휘발유,5,,,,5
2019-02-01,종로구,휘발유(무연),14908,27,15,1,14951
2019-02-01,종로구,휘발유(무연),198,,,,198
2019-02-01,종로구,휘발유(유연),9,,,,9
2019-02-01,중구,CNG,8,2,11,,21
2019-02-01,중구,CNG,1,14,,,15
2019-02-01,중구,경유,11964,2688,4900,80,19632
2019-02-01,중구,경유,654,274,1548,124,2600
2019-02-01,중구,기타연료,4,25,79,17,125
2019-02-01,중구,기타연료,,,149,,149
2019-02-01,중구,수소,3,,,,3
2019-02-01,중구,엘피지,1434,320,437,,2191
2019-02-01,중구,엘피지,883,1,60,,944
2019-02-01,중구,전기,188,2,2,,192
2019-02-01,중구,전기,22,,,,22
2019-02-01,중구,하이브리드(LPG+전기),29,,,,29
2019-02-01,중구,하이브리드(경유+전기),3,,,,3
2019-02-01,중구,하이브리드(휘발유+전기),1086,,,,1086
2019-02-01,중구,하이브리드(휘발유+전기),188,,,,188
2019-02-01,중구,휘발유,11229,17,20,,11266
2019-02-01,중구,휘발유,187,3,,,190
2019-02-01,중구,휘발유(무연),12605,15,28,,12648
2019-02-01,중구,휘발유(무연),602,,,,602
2019-02-01,중구,휘발유(유연),19,,,,19
2019-02-01,용산구,CNG,3,1,24,1,29
2019-02-01,용산구,CNG,,3,,,3
2019-02-01,용산구,경유,18571,2012,5353,83,26019
2019-02-01,용산구,경유,50,62,1018,44,1174
2019-02-01,용산구,기타연료,206,30,89,7,332
2019-02-01,용산구,기타연료,,,3,,3
2019-02-01,용산구,수소,2,,,,2
2019-02-01,용산구,엘피지,2569,393,462,,3424
2019-02-01,용산구,엘피지,719,20,77,,816
2019-02-01,용산구,전기,200,,,,200
2019-02-01,용산구,하이브리드(LPG+전기),33,,,,33
2019-02-01,용산구,하이브리드(경유+전기),1,,,,1
2019-02-01,용산구,하이브리드(휘발유+전기),1858,,,,1858
2019-02-01,용산구,하이브리드(휘발유+전기),1,,,,1
2019-02-01,용산구,휘발유,21891,22,47,,21960
2019-02-01,용산구,휘발유,24,5,,,29
2019-02-01,용산구,휘발유(무연),21232,28,20,,21280
2019-02-01,용산구,휘발유(무연),148,,,,148
2019-02-01,용산구,휘발유(유연),24,,,,24
2019-02-01,성동구,CNG,20,4,16,,40
2019-02-01,성동구,CNG,,128,,,128
2019-02-01,성동구,경유,25869,2347,8574,70,36860
2019-02-01,성동구,경유,1001,876,1349,105,3331
2019-02-01,성동구,기타연료,2,60,84,2,148
2019-02-01,성동구,기타연료,,,7,,7
2019-02-01,성동구,수소,4,,,,4
2019-02-01,성동구,엘피지,4403,520,820,,5743
2019-02-01,성동구,엘피지,3100,51,262,,3413
2019-02-01,성동구,전기,197,,2,,199
2019-02-01,성동구,전기,266,,,,266
2019-02-01,성동구,하이브리드(LPG+전기),55,,,,55
2019-02-01,성동구,하이브리드(LPG+전기),1,,,,1
2019-02-01,성동구,하이브리드(휘발유+전기),2383,,,,2383
2019-02-01,성동구,하이브리드(휘발유+전기),18,,,,18
2019-02-01,성동구,휘발유,22340,12,29,,22381
2019-02-01,성동구,휘발유,381,2,,,383
2019-02-01,성동구,휘발유(무연),27776,15,7,,27798
2019-02-01,성동구,휘발유(무연),2024,,,,2024
2019-02-01,성동구,휘발유(유연),41,,,,41
2019-02-01,광진구,CNG,15,1,13,,29
2019-02-01,광진구,CNG,,369,,,369
2019-02-01,광진구,경유,24023,2525,10103,43,36694
2019-02-01,광진구,경유,422,324,1288,181,2215
2019-02-01,광진구,기타연료,,38,92,,130
2019-02-01,광진구,기타연료,,,4,,4
2019-02-01,광진구,수소,1,,,,1
2019-02-01,광진구,엘피지,4776,576,763,1,6116
2019-02-01,광진구,엘피지,2467,3,249,60,2779
2019-02-01,광진구,전기,123,,,,123
2019-02-01,광진구,전기,3,,,,3
2019-02-01,광진구,하이브리드(LPG+전기),56,,,,56
2019-02-01,광진구,하이브리드(휘발유+전기),2073,,,,2073
2019-02-01,광진구,하이브리드(휘발유+전기),15,,,,15
2019-02-01,광진구,휘발유,20944,9,23,,20976
2019-02-01,광진구,휘발유,242,1,,,243
2019-02-01,광진구,휘발유(무연),28468,23,25,,28516
2019-02-01,광진구,휘발유(무연),283,,,,283
2019-02-01,광진구,휘발유(유연),41,,,,41
2019-02-01,동대문구,CNG,14,1,18,,33
2019-02-01,동대문구,CNG,,21,,,21
2019-02-01,동대문구,경유,23910,3065,9713,62,36750
2019-02-01,동대문구,경유,240,117,1814,96,2267
2019-02-01,동대문구,기타연료,3,40,111,4,158
2019-02-01,동대문구,기타연료,,,7,,7
2019-02-01,동대문구,수소,3,,,,3
2019-02-01,동대문구,엘피지,5307,604,1052,2,6965
2019-02-01,동대문구,엘피지,2382,1,340,,2723
2019-02-01,동대문구,전기,102,,1,,103
2019-02-01,동대문구,전기,3,,,,3
2019-02-01,동대문구,하이브리드(LPG+전기),68,,,,68
2019-02-01,동대문구,하이브리드(휘발유+전기),1681,,,,1681
2019-02-01,동대문구,하이브리드(휘발유+전기),40,,,,40
2019-02-01,동대문구,휘발유,19509,8,40,,19557
2019-02-01,동대문구,휘발유,132,,,,132
2019-02-01,동대문구,휘발유(무연),27609,26,30,,27665
2019-02-01,동대문구,휘발유(무연),180,,,,180
2019-02-01,동대문구,휘발유(유연),38,,,,38
2019-02-01,중랑구,CNG,22,2,11,,35
2019-02-01,중랑구,CNG,1,360,,,361
2019-02-01,중랑구,경유,27222,3509,11471,87,42289
2019-02-01,중랑구,경유,220,204,2406,322,3152
2019-02-01,중랑구,기타연료,2,42,82,6,132
2019-02-01,중랑구,기타연료,,,17,,17
2019-02-01,중랑구,수소,1,,,,1
2019-02-01,중랑구,엘피지,7170,785,1164,,9119
2019-02-01,중랑구,엘피지,5391,2,373,,5766
2019-02-01,중랑구,전기,122,,,,122
2019-02-01,중랑구,전기,3,,,,3
2019-02-01,중랑구,하이브리드(LPG+전기),67,,,,67
2019-02-01,중랑구,하이브리드(경유+전기),1,,,,1
2019-02-01,중랑구,하이브리드(휘발유+전기),1614,,,,1614
2019-02-01,중랑구,하이브리드(휘발유+전기),9,,,,9
2019-02-01,중랑구,휘발유,19804,11,35,,19850
2019-02-01,중랑구,휘발유,22,,,,22
2019-02-01,중랑구,휘발유(무연),31114,17,31,1,31163
2019-02-01,중랑구,휘발유(무연),405,,,,405
2019-02-01,중랑구,휘발유(유연),26,,,,26
2019-02-01,성북구,CNG,21,2,7,,30
2019-02-01,성북구,CNG,,762,,,762
2019-02-01,성북구,경유,29456,3396,8421,61,41334
2019-02-01,성북구,경유,63,371,1310,93,1837
2019-02-01,성북구,기타연료,3,42,132,2,179
2019-02-01,성북구,기타연료,,,4,,4
2019-02-01,성북구,수소,2,,,,2
2019-02-01,성북구,엘피지,6267,657,820,,7744
2019-02-01,성북구,엘피지,2508,2,304,,2814
2019-02-01,성북구,전기,145,,,,145
2019-02-01,성북구,전기,6,19,,,25
2019-02-01,성북구,하이브리드(CNG+전기),,3,,,3
2019-02-01,성북구,하이브리드(LPG+전기),58,,,,58
2019-02-01,성북구,하이브리드(휘발유+전기),2384,,,,2384
2019-02-01,성북구,하이브리드(휘발유+전기),1,,,,1
2019-02-01,성북구,휘발유,24374,14,31,,24419
2019-02-01,성북구,휘발유,5,,,,5
2019-02-01,성북구,휘발유(무연),34775,18,15,,34808
2019-02-01,성북구,휘발유(무연),39,,,,39
2019-02-01,성북구,휘발유(유연),38,,,,38
2019-02-01,강북구,CNG,13,1,8,,22
2019-02-01,강북구,CNG,,677,1,,678
2019-02-01,강북구,경유,18652,2600,7224,57,28533
2019-02-01,강북구,경유,25,63,1036,102,1226
2019-02-01,강북구,기타연료,1,13,54,1,69
2019-02-01,강북구,기타연료,,,1,,1
2019-02-01,강북구,수소,1,,,,1
2019-02-01,강북구,엘피지,5294,635,797,,6726
2019-02-01,강북구,엘피지,2521,,224,,2745
2019-02-01,강북구,전기,81,,,,81
2019-02-01,강북구,전기,6,,,,6
2019-02-01,강북구,하이브리드(LPG+전기),49,,,,49
2019-02-01,강북구,하이브리드(경유+전기),1,,,,1
2019-02-01,강북구,하이브리드(휘발유+전기),1144,,,,1144
2019-02-01,강북구,하이브리드(휘발유+전기),2,,,,2
2019-02-01,강북구,휘발유,13808,11,20,1,13840
2019-02-01,강북구,휘발유,5,,,,5
2019-02-01,강북구,휘발유(무연),22098,14,8,,22120
2019-02-01,강북구,휘발유(무연),75,,,,75
2019-02-01,강북구,휘발유(유연),26,,,,26
2019-02-01,도봉구,CNG,18,2,4,,24
2019-02-01,도봉구,CNG,1,340,,,341
2019-02-01,도봉구,경유,22815,2799,8328,73,34015
2019-02-01,도봉구,경유,64,88,1513,156,1821
2019-02-01,도봉구,기타연료,1,41,80,,122
2019-02-01,도봉구,기타연료,,,8,,8
2019-02-01,도봉구,엘피지,6157,617,812,1,7587
2019-02-01,도봉구,엘피지,4940,2,305,,5247
2019-02-01,도봉구,전기,106,,,,106
2019-02-01,도봉구,전기,17,,,,17
2019-02-01,도봉구,하이브리드(CNG+전기),,8,,,8
2019-02-01,도봉구,하이브리드(LPG+전기),61,,,,61
2019-02-01,도봉구,하이브리드(휘발유+전기),1571,,,,1571
2019-02-01,도봉구,하이브리드(휘발유+전기),4,,,,4
2019-02-01,도봉구,휘발유,17875,8,24,,17907
2019-02-01,도봉구,휘발유,51,,,,51
2019-02-01,도봉구,휘발유(무연),28340,15,18,,28373
2019-02-01,도봉구,휘발유(무연),84,,,,84
2019-02-01,도봉구,휘발유(유연),38,,,,38
2019-02-01,노원구,CNG,35,4,7,,46
2019-02-01,노원구,CNG,,592,1,,593
2019-02-01,노원구,경유,36984,3995,10292,79,51350
2019-02-01,노원구,경유,93,260,1647,260,2260
2019-02-01,노원구,기타연료,2,69,135,1,207
2019-02-01,노원구,기타연료,,,14,,14
2019-02-01,노원구,수소,1,,,,1
2019-02-01,노원구,엘피지,10455,821,1036,1,12313
2019-02-01,노원구,엘피지,5757,5,343,,6105
2019-02-01,노원구,전기,159,1,,,160
2019-02-01,노원구,전기,7,,,,7
2019-02-01,노원구,하이브리드(CNG+전기),,31,,,31
2019-02-01,노원구,하이브리드(LPG+전기),108,,,,108
2019-02-01,노원구,하이브리드(경유+전기),2,,,,2
2019-02-01,노원구,하이브리드(휘발유+전기),2902,,,,2902
2019-02-01,노원구,하이브리드(휘발유+전기),3,,,,3
2019-02-01,노원구,휘발유,30103,6,42,,30151
2019-02-01,노원구,휘발유,46,,,,46
2019-02-01,노원구,휘발유(무연),47174,24,17,,47215
2019-02-01,노원구,휘발유(무연),149,,,,149
2019-02-01,노원구,휘발유(유연),50,,,,50
2019-02-01,은평구,CNG,16,2,12,,30
2019-02-01,은평구,CNG,3,719,,,722
2019-02-01,은평구,경유,30941,3692,10366,80,45079
2019-02-01,은평구,경유,59,57,1688,178,1982
2019-02-01,은평구,기타연료,2,46,108,5,161
2019-02-01,은평구,기타연료,,,1,,1
2019-02-01,은평구,수소,4,,,,4
2019-02-01,은평구,엘피지,7841,836,947,,9624
2019-02-01,은평구,엘피지,3966,,255,,4221
2019-02-01,은평구,전기,153,,,1,154
2019-02-01,은평구,전기,1,,,,1
2019-02-01,은평구,하이브리드(CNG+전기),,1,,,1
2019-02-01,은평구,하이브리드(LPG+전기),105,,,,105
2019-02-01,은평구,하이브리드(휘발유+전기),2472,,,,2472
2019-02-01,은평구,하이브리드(휘발유+전기),2,,,,2
2019-02-01,은평구,휘발유,26310,12,39,,26361
2019-02-01,은평구,휘발유,5,,1,,6
2019-02-01,은평구,휘발유(무연),39259,24,25,,39308
2019-02-01,은평구,휘발유(무연),75,,,,75
2019-02-01,은평구,휘발유(유연),35,,,,35
2019-02-01,서대문구,CNG,13,10,14,,37
2019-02-01,서대문구,CNG,2,281,,,283
2019-02-01,서대문구,경유,20433,2506,6109,73,29121
2019-02-01,서대문구,경유,140,151,1675,242,2208
2019-02-01,서대문구,기타연료,2,36,64,1,103
2019-02-01,서대문구,기타연료,,,42,,42
2019-02-01,서대문구,수소,3,,,,3
2019-02-01,서대문구,엘피지,4456,417,590,1,5464
2019-02-01,서대문구,엘피지,2780,6,137,,2923
2019-02-01,서대문구,전기,118,,,,118
2019-02-01,서대문구,전기,11,,,,11
2019-02-01,서대문구,하이브리드(CNG+전기),,2,,,2
2019-02-01,서대문구,하이브리드(LPG+전기),56,,,,56
2019-02-01,서대문구,하이브리드(경유+전기),1,,,,1
2019-02-01,서대문구,하이브리드(휘발유+전기),1921,,,,1921
2019-02-01,서대문구,하이브리드(휘발유+전기),3,,,,3
2019-02-01,서대문구,휘발유,18813,14,33,,18860
2019-02-01,서대문구,휘발유,23,2,,,25
2019-02-01,서대문구,휘발유(무연),26051,14,22,,26087
2019-02-01,서대문구,휘발유(무연),194,,,,194
2019-02-01,서대문구,휘발유(유연),36,,,,36
2019-02-01,마포구,CNG,24,2,30,,56
2019-02-01,마포구,CNG,,290,1,,291
2019-02-01,마포구,경유,27961,2924,8993,111,39989
2019-02-01,마포구,경유,563,458,1880,121,3022
2019-02-01,마포구,기타연료,2,46,113,7,168
2019-02-01,마포구,기타연료,,,50,,50
2019-02-01,마포구,수소,5,,,,5
2019-02-01,마포구,엘피지,5008,625,887,,6520
2019-02-01,마포구,엘피지,2621,1,140,,2762
2019-02-01,마포구,전기,207,,,,207
2019-02-01,마포구,전기,9,,,,9
2019-02-01,마포구,하이브리드(LPG+전기),67,,,,67
2019-02-01,마포구,하이브리드(휘발유+전기),2873,,,,2873
2019-02-01,마포구,하이브리드(휘발유+전기),15,,,,15
2019-02-01,마포구,휘발유,26968,20,61,2,27051
2019-02-01,마포구,휘발유,41,,,,41
2019-02-01,마포구,휘발유(무연),34039,23,43,,34105
2019-02-01,마포구,휘발유(무연),726,,,,726
2019-02-01,마포구,휘발유(유연),39,,,,39
2019-02-01,양천구,CNG,22,2,18,,42
2019-02-01,양천구,CNG,,641,,,641
2019-02-01,양천구,경유,35202,3591,11707,132,50632
2019-02-01,양천구,경유,63,145,2429,417,3054
2019-02-01,양천구,기타연료,2,48,147,3,200
2019-02-01,양천구,기타연료,,,43,,43
2019-02-01,양천구,수소,2,,,,2
2019-02-01,양천구,엘피지,8223,765,1031,1,10020
2019-02-01,양천구,엘피지,4477,3,217,,4697
2019-02-01,양천구,전기,172,,2,,174
2019-02-01,양천구,전기,27,,,,27
2019-02-01,양천구,하이브리드(LPG+전기),93,,,,93
2019-02-01,양천구,하이브리드(경유+전기),2,,,,2
2019-02-01,양천구,하이브리드(휘발유+전기),3162,,,,3162
2019-02-01,양천구,하이브리드(휘발유+전기),2,,,,2
2019-02-01,양천구,휘발유,33391,11,37,,33439
2019-02-01,양천구,휘발유,12,,,,12
2019-02-01,양천구,휘발유(무연),44148,21,35,,44204
2019-02-01,양천구,휘발유(무연),84,,,,84
2019-02-01,양천구,휘발유(유연),37,,,,37
2019-02-01,강서구,CNG,46,6,13,,65
2019-02-01,강서구,CNG,3,390,,,393
2019-02-01,강서구,경유,47059,5191,16371,146,68767
2019-02-01,강서구,경유,839,1061,3237,259,5396
2019-02-01,강서구,기타연료,4,63,183,5,255
2019-02-01,강서구,기타연료,,,26,,26
2019-02-01,강서구,수소,2,,,,2
2019-02-01,강서구,엘피지,11831,1043,1484,1,14359
2019-02-01,강서구,엘피지,8080,17,307,,8404
2019-02-01,강서구,전기,202,,1,,203
2019-02-01,강서구,전기,73,,,,73
2019-02-01,강서구,하이브리드(LPG+전기),123,,,,123
2019-02-01,강서구,하이브리드(경유+전기),2,,,,2
2019-02-01,강서구,하이브리드(휘발유+전기),4025,,,,4025
2019-02-01,강서구,하이브리드(휘발유+전기),2767,,,,2767
2019-02-01,강서구,휘발유,40068,22,47,,40137
2019-02-01,강서구,휘발유,103,2,,,105
2019-02-01,강서구,휘발유(무연),57927,33,37,1,57998
2019-02-01,강서구,휘발유(무연),616,1,,,617
2019-02-01,강서구,휘발유(유연),86,,,,86
2019-02-01,구로구,CNG,29,3,9,,41
2019-02-01,구로구,CNG,1,346,,,347
2019-02-01,구로구,경유,34086,4921,13701,157,52865
2019-02-01,구로구,경유,1808,345,2450,192,4795
2019-02-01,구로구,기타연료,,40,153,5,198
2019-02-01,구로구,기타연료,,,30,,30
2019-02-01,구로구,수소,3,,,,3
2019-02-01,구로구,엘피지,7602,692,964,1,9259
2019-02-01,구로구,엘피지,5854,6,257,,6117
2019-02-01,구로구,전기,138,,,,138
2019-02-01,구로구,전기,34,,,,34
2019-02-01,구로구,하이브리드(LPG+전기),102,,,,102
2019-02-01,구로구,하이브리드(휘발유+전기),2507,,,,2507
2019-02-01,구로구,하이브리드(휘발유+전기),174,,,,174
2019-02-01,구로구,휘발유,25756,15,43,,25814
2019-02-01,구로구,휘발유,293,,,,293
2019-02-01,구로구,휘발유(무연),38739,17,27,,38783
2019-02-01,구로구,휘발유(무연),3135,,,,3135
2019-02-01,구로구,휘발유(유연),41,,,,41
2019-02-01,구로구,휘발유(유연),8,,,,8
2019-02-01,금천구,CNG,18,2,6,,26
2019-02-01,금천구,CNG,,393,,,393
2019-02-01,금천구,경유,21502,3432,10372,67,35373
2019-02-01,금천구,경유,218,97,2072,89,2476
2019-02-01,금천구,기타연료,1,28,65,2,96
2019-02-01,금천구,기타연료,,,35,,35
2019-02-01,금천구,수소,1,,,,1
2019-02-01,금천구,엘피지,4331,496,739,1,5567
2019-02-01,금천구,엘피지,2521,2,175,,2698
2019-02-01,금천구,전기,91,,3,,94
2019-02-01,금천구,전기,38,,,,38
2019-02-01,금천구,하이브리드(LPG+전기),56,,,,56
2019-02-01,금천구,하이브리드(LPG+전기),1,,,,1
2019-02-01,금천구,하이브리드(경유+전기),,1,,,1
2019-02-01,금천구,하이브리드(휘발유+전기),1435,,,,1435
2019-02-01,금천구,하이브리드(휘발유+전기),23,,,,23
2019-02-01,금천구,휘발유,14576,10,35,1,14622
2019-02-01,금천구,휘발유,11,,,,11
2019-02-01,금천구,휘발유(무연),24277,9,14,,24300
2019-02-01,금천구,휘발유(무연),199,1,,,200
2019-02-01,금천구,휘발유(유연),38,,,,38
2019-02-01,금천구,휘발유(유연),1,,,,1
2019-02-01,영등포구,CNG,11,3,26,,40
2019-02-01,영등포구,CNG,1,84,,,85
2019-02-01,영등포구,경유,34057,4420,14173,524,53174
2019-02-01,영등포구,경유,371,193,3737,630,4931
2019-02-01,영등포구,기타연료,4,40,130,5,179
2019-02-01,영등포구,기타연료,,,212,2,214
2019-02-01,영등포구,수소,5,,,,5
2019-02-01,영등포구,엘피지,5994,636,1012,4,7646
2019-02-01,영등포구,엘피지,2769,1,272,1,3043
2019-02-01,영등포구,전기,380,,,,380
2019-02-01,영등포구,전기,297,,,,297
2019-02-01,영등포구,하이브리드(LPG+전기),82,,,,82
2019-02-01,영등포구,하이브리드(LPG+전기),11,,,,11
2019-02-01,영등포구,하이브리드(휘발유+전기),3188,,,,3188
2019-02-01,영등포구,하이브리드(휘발유+전기),309,,,,309
2019-02-01,영등포구,휘발유,29441,18,60,,29519
2019-02-01,영등포구,휘발유,40,,,,40
2019-02-01,영등포구,휘발유(무연),39447,24,37,,39508
2019-02-01,영등포구,휘발유(무연),480,,,,480
2019-02-01,영등포구,휘발유(유연),61,,,,61
2019-02-01,영등포구,휘발유(유연),1,,,,1
2019-02-01,동작구,CNG,15,,6,,21
2019-02-01,동작구,CNG,,58,,,58
2019-02-01,동작구,경유,25832,2716,7023,89,35660
2019-02-01,동작구,경유,32,75,1000,291,1398
2019-02-01,동작구,기타연료,2,31,65,2,100
2019-02-01,동작구,기타연료,,,5,,5
2019-02-01,동작구,수소,1,,,,1
2019-02-01,동작구,엘피지,5680,525,669,1,6875
2019-02-01,동작구,엘피지,1153,,143,,1296
2019-02-01,동작구,전기,150,,2,,152
2019-02-01,동작구,전기,5,,,,5
2019-02-01,동작구,하이브리드(LPG+전기),77,,,,77
2019-02-01,동작구,하이브리드(경유+전기),1,,,,1
2019-02-01,동작구,하이브리드(휘발유+전기),2742,,,,2742
2019-02-01,동작구,하이브리드(휘발유+전기),3,,,,3
2019-02-01,동작구,휘발유,24595,15,21,,24631
2019-02-01,동작구,휘발유,6,,,,6
2019-02-01,동작구,휘발유(무연),33245,12,20,,33277
2019-02-01,동작구,휘발유(무연),38,,,,38
2019-02-01,동작구,휘발유(유연),41,,,,41
2019-02-01,관악구,CNG,24,9,11,1,45
2019-02-01,관악구,CNG,3,241,,,244
2019-02-01,관악구,경유,29151,3759,9519,75,42504
2019-02-01,관악구,경유,152,45,1718,182,2097
2019-02-01,관악구,기타연료,,29,96,2,127
2019-02-01,관악구,기타연료,,,10,,10
2019-02-01,관악구,수소,1,,,,1
2019-02-01,관악구,엘피지,7243,739,960,,8942
2019-02-01,관악구,엘피지,2824,1,284,,3109
2019-02-01,관악구,전기,146,,,,146
2019-02-01,관악구,전기,2,,,,2
2019-02-01,관악구,하이브리드(LPG+전기),112,,,,112
2019-02-01,관악구,하이브리드(경유+전기),1,,,,1
2019-02-01,관악구,하이브리드(휘발유+전기),2504,,,,2504
2019-02-01,관악구,하이브리드(휘발유+전기),8,,,,8
2019-02-01,관악구,휘발유,24468,13,32,,24513
2019-02-01,관악구,휘발유,5,,,,5
2019-02-01,관악구,휘발유(무연),36703,17,30,,36750
2019-02-01,관악구,휘발유(무연),138,,,,138
2019-02-01,관악구,휘발유(유연),56,,,,56
