년월,시군구별,연료별,승용,승합,화물,특수,계
2019-07-01,용산구,전기,256,,,,256
2019-07-01,용산구,전기,1,,1,,2
2019-07-01,용산구,하이브리드(LPG+전기),32,,,,32
2019-07-01,용산구,하이브리드(경유+전기),1,,,,1
2019-07-01,용산구,하이브리드(휘발유+전기),2058,,,,2058
2019-07-01,용산구,하이브리드(휘발유+전기),10,,,,10
2019-07-01,용산구,휘발유,21839,20,42,,21901
2019-07-01,용산구,휘발유,39,5,,,44
2019-07-01,용산구,휘발유(무연),21038,29,17,,21084
2019-07-01,용산구,휘발유(무연),174,,,,174
2019-07-01,용산구,휘발유(유연),23,,,,23
2019-07-01,성동구,CNG,16,4,17,,37
2019-07-01,성동구,CNG,,455,,,455
2019-07-01,성동구,경유,25446,2241,8504,72,36263
2019-07-01,성동구,경유,985,1813,1368,101,4267
2019-07-01,성동구,기타연료,2,60,88,2,152
2019-07-01,성동구,기타연료,,,5,,5
2019-07-01,성동구,수소,4,,,,4
2019-07-01,성동구,엘피지,4303,485,800,,5588
2019-07-01,성동구,엘피지,2937,26,250,,3213
2019-07-01,성동구,전기,236,,2,,238
2019-07-01,성동구,전기,298,,,,298
2019-07-01,성동구,하이브리드(LPG+전기),57,,,,57
2019-07-01,성동구,하이브리드(LPG+전기),16,,,,16
2019-07-01,성동구,하이브리드(경유+전기),3,,,,3
2019-07-01,성동구,하이브리드(휘발유+전기),2634,,,,2634
2019-07-01,성동구,하이브리드(휘발유+전기),24,,,,24
2019-07-01,성동구,휘발유,22006,7,31,,22044
2019-07-01,성동구,휘발유,358,8,,,366
2019-07-01,성동구,휘발유(무연),27839,18,7,,27864
2019-07-01,성동구,휘발유(무연),2406,,,,2406
2019-07-01,성동구,휘발유(유연),42,,,,42
2019-07-01,광진구,CNG,15,1,13,,29
2019-07-01,광진구,CNG,,42,,,42
2019-07-01,광진구,경유,23599,2420,9952,38,36009
2019-07-01,광진구,경유,443,295,1275,180,2193
2019-07-01,광진구,기타연료,,40,93,,133
2019-07-01,광진구,기타연료,,,4,,4
2019-07-01,광진구,수소,1,,,,1
2019-07-01,광진구,수소,1,,,,1
2019-07-01,광진구,엘피지,4706,527,742,1,5976
2019-07-01,광진구,엘피지,2332,35,251,60,2678
2019-07-01,광진구,전기,160,,,,160
2019-07-01,광진구,전기,7,,,,7
2019-07-01,광진구,하이브리드(LPG+전기),60,,,,60
2019-07-01,광진구,하이브리드(경유+전기),1,,,,1
2019-07-01,광진구,하이브리드(휘발유+전기),2240,,,,2240
2019-07-01,광진구,하이브리드(휘발유+전기),27,,,,27
2019-07-01,광진구,휘발유,20662,8,25,,20695
2019-07-01,광진구,휘발유,254,1,,,255
2019-07-01,광진구,휘발유(무연),28578,22,26,,28626
2019-07-01,광진구,휘발유(무연),383,,,,383
2019-07-01,광진구,휘발유(유연),41,,,,41
2019-07-01,동대문구,CNG,13,2,18,,33
2019-07-01,동대문구,CNG,,21,,,21
2019-07-01,동대문구,경유,23504,2972,9672,79,36227
2019-07-01,동대문구,경유,225,102,1800,94,2221
2019-07-01,동대문구,기타연료,3,38,115,3,159
2019-07-01,동대문구,기타연료,,,7,,7
2019-07-01,동대문구,수소,2,,,,2
2019-07-01,동대문구,엘피지,5239,577,983,2,6801
2019-07-01,동대문구,엘피지,2350,5,332,,2687
2019-07-01,동대문구,전기,131,,1,,132
2019-07-01,동대문구,전기,7,,1,,8
2019-07-01,동대문구,하이브리드(LPG+전기),66,,,,66
2019-07-01,동대문구,하이브리드(휘발유+전기),1863,,,,1863
2019-07-01,동대문구,하이브리드(휘발유+전기),42,,,,42
2019-07-01,동대문구,휘발유,19409,9,40,,19458
2019-07-01,동대문구,휘발유,137,,,,137
2019-07-01,동대문구,휘발유(무연),27932,28,28,,27988
2019-07-01,동대문구,휘발유(무연),154,,,,154
2019-07-01,동대문구,휘발유(유연),36,,,,36
2019-07-01,중랑구,CNG,19,2,11,,32
2019-07-01,중랑구,CNG,,360,,,360
2019-07-01,중랑구,경유,26539,3360,11368,98,41365
2019-07-01,중랑구,경유,190,181,2337,317,3025
2019-07-01,중랑구,기타연료,2,45,86,5,138
2019-07-01,중랑구,기타연료,,,17,,17
2019-07-01,중랑구,수소,2,,,,2
2019-07-01,중랑구,엘피지,7039,748,1099,,8886
2019-07-01,중랑구,엘피지,5322,5,351,,5678
2019-07-01,중랑구,전기,161,,,,161
2019-07-01,중랑구,전기,15,,,,15
2019-07-01,중랑구,하이브리드(LPG+전기),60,,,,60
2019-07-01,중랑구,하이브리드(경유+전기),1,,,,1
2019-07-01,중랑구,하이브리드(휘발유+전기),1764,,,,1764
2019-07-01,중랑구,하이브리드(휘발유+전기),10,,,,10
2019-07-01,중랑구,휘발유,19575,11,34,,19620
2019-07-01,중랑구,휘발유,24,,,,24
2019-07-01,중랑구,휘발유(무연),31423,18,31,1,31473
2019-07-01,중랑구,휘발유(무연),401,,,,401
2019-07-01,중랑구,휘발유(유연),27,,,,27
2019-07-01,성북구,CNG,18,2,6,,26
2019-07-01,성북구,CNG,,762,,,762
2019-07-01,성북구,경유,29602,3264,8405,71,41342
2019-07-01,성북구,경유,53,384,1340,103,1880
2019-07-01,성북구,기타연료,2,44,133,4,183
2019-07-01,성북구,기타연료,,,6,,6
2019-07-01,성북구,수소,4,,,,4
2019-07-01,성북구,엘피지,6252,618,801,,7671
2019-07-01,성북구,엘피지,2433,2,301,,2736
2019-07-01,성북구,전기,198,,,,198
2019-07-01,성북구,전기,19,19,,,38
2019-07-01,성북구,하이브리드(CNG+전기),,3,,,3
2019-07-01,성북구,하이브리드(LPG+전기),60,,,,60
2019-07-01,성북구,하이브리드(휘발유+전기),2679,,,,2679
2019-07-01,성북구,휘발유,24734,15,34,,24783
2019-07-01,성북구,휘발유,4,,,,4
2019-07-01,성북구,휘발유(무연),35870,22,17,,35909
2019-07-01,성북구,휘발유(무연),36,,,,36
2019-07-01,성북구,휘발유(유연),39,,,,39
2019-07-01,강북구,CNG,15,1,8,,24
2019-07-01,강북구,CNG,,677,1,,678
2019-07-01,강북구,경유,18150,2515,7103,52,27820
2019-07-01,강북구,경유,29,48,1039,103,1219
2019-07-01,강북구,기타연료,1,16,65,1,83
2019-07-01,강북구,기타연료,,,1,,1
2019-07-01,강북구,수소,2,,,,2
2019-07-01,강북구,엘피지,5169,595,738,,6502
2019-07-01,강북구,엘피지,2405,3,221,,2629
2019-07-01,강북구,전기,109,,,,109
2019-07-01,강북구,전기,20,,1,,21
2019-07-01,강북구,하이브리드(LPG+전기),51,,,,51
2019-07-01,강북구,하이브리드(경유+전기),2,,,,2
2019-07-01,강북구,하이브리드(휘발유+전기),1249,,,,1249
2019-07-01,강북구,하이브리드(휘발유+전기),2,,,,2
2019-07-01,강북구,휘발유,13627,10,23,1,13661
2019-07-01,강북구,휘발유,6,,,,6
2019-07-01,강북구,휘발유(무연),22290,15,10,,22315
2019-07-01,강북구,휘발유(무연),53,,,,53
2019-07-01,강북구,휘발유(유연),23,,,,23
2019-07-01,도봉구,CNG,18,2,4,,24
2019-07-01,도봉구,CNG,,339,,,339
2019-07-01,도봉구,경유,22374,2690,8188,76,33328
